Id,OwnerId,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById
a5l26000000D1LHAA0,00G26000008cwW0EAI,SC-00015,GBP,2023-08-24T15:16:31.000+0000,0052600000A71TrAAJ,2023-08-24T15:16:31.000+0000,0052600000A71TrAAJ
a5l26000000D1L2AAK,00G26000008cwW0EAI,SC-00012,GBP,2023-08-24T14:26:26.000+0000,0052600000A71TrAAJ,2023-08-24T14:26:26.000+0000,0052600000A71TrAAJ
a5l26000000D1L7AAK,00G26000008cwW0EAI,SC-00013,GBP,2023-08-24T15:15:51.000+0000,0052600000A71TrAAJ,2023-08-24T15:15:51.000+0000,0052600000A71TrAAJ
a5l26000000D1LCAA0,00G26000008cwW0EAI,SC-00014,GBP,2023-08-24T15:16:07.000+0000,0052600000A71TrAAJ,2023-08-24T15:16:07.000+0000,0052600000A71TrAAJ
a5l26000000D1LMAA0,0052600000A71TrAAJ,SC-00016,GBP,2023-08-24T15:16:51.000+0000,0052600000A71TrAAJ,2023-08-24T15:17:19.000+0000,0052600000A71TrAAJ
