Id,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,LLC_BI__Account__c,LLC_BI__Collateral__c,LLC_BI__End_Date__c,LLC_BI__Ownership_Percentage__c,LLC_BI__Pledging_Authority__c,LLC_BI__Relationship_Type__c,LLC_BI__Start_Date__c,LLC_BI__Primary_Owner__c,LLC_BI__Collateral_Association__c,LLC_BI__Group_Association__c,CCS_Perfection_Status__c,CCS_Security_Hyperlink__c,CCS_Total_Current_Hard_Limits__c,CCS_Total_Lending_Value__c,CCS_Certificate_Type__c,CCS_No_Of_Concurring_Partners__c,CCS_No_Of_Non_Property_Owning_Partners__c,CCS_Partnership_Asset__c,CCS_Partnership_Type__c,CCS_Principal__c
a1w2600000G4QVQAA3,AC-00094,GBP,2023-08-24T13:50:09.000+0000,0052600000A71TrAAJ,2023-08-24T13:50:09.000+0000,0052600000A71TrAAJ,00126000024fwLXAAY,a1y2600000243LhAAI,,,False,,2023-08-24,False,Beneficiary,Beneficiary,,,,,,,,,,
a1w2600000G4QV6AAN,AC-00091,GBP,2023-08-24T13:49:15.000+0000,0052600000A71TrAAJ,2023-08-24T13:49:15.000+0000,0052600000A71TrAAJ,00126000024h5rrAAA,a1y2600000243LhAAI,,,False,,2023-08-24,False,Provider,Beneficiary,,,,,,,,,,
a1w2600000G4QVBAA3,AC-00092,GBP,2023-08-24T13:49:28.000+0000,0052600000A71TrAAJ,2023-08-24T13:49:28.000+0000,0052600000A71TrAAJ,0012600001phVyJAAU,a1y2600000243LhAAI,,,False,,2023-08-24,False,Provider,Beneficiary,,,,,,,,,,
a1w2600000G4QUXAA3,AC-00089,GBP,2023-08-24T13:48:08.000+0000,0052600000A71TrAAJ,2023-08-24T13:48:08.000+0000,0052600000A71TrAAJ,0012600001phVyJAAU,a1y2600000243LhAAI,,,False,,2023-08-24,False,Beneficiary,Beneficiary,,,,,,,,,,
a1w2600000G4QUwAAN,AC-00090,GBP,2023-08-24T13:48:58.000+0000,0052600000A71TrAAJ,2023-08-24T13:48:58.000+0000,0052600000A71TrAAJ,0012600001vlUxrAAE,a1y2600000243LhAAI,,,False,,2023-08-24,False,Beneficiary,Beneficiary,,,,,,,,,,
a1w2600000G4QVLAA3,AC-00093,GBP,2023-08-24T13:49:45.000+0000,0052600000A71TrAAJ,2023-08-24T13:50:50.000+0000,0052600000A71TrAAJ,00126000024h5rrAAA,a1y2600000243LhAAI,,,False,,2023-08-24,False,Beneficiary,Beneficiary,,,,,,,,,,
